"text","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","filename","register","mode"
"academicW2A-001_MAT.txt",-1.09632094601514,-0.263405959891796,-0.948558284431666,0.645598998634742,0.802821616332881,-0.902042388699741,"academicW2A-001_MAT.txt","academic","written"
"academicW2A-002_MAT.txt",-1.27126730667324,-0.267367204190042,-0.201203027702142,0.333504238167863,0.941528259689729,1.33090502128843,"academicW2A-002_MAT.txt","academic","written"
"academicW2A-003_MAT.txt",-0.898917809082912,-0.063069252520468,-0.523491712714904,0.919359986641636,0.72831411774578,-0.636554933174365,"academicW2A-003_MAT.txt","academic","written"
"academicW2A-004_MAT.txt",-1.23690583088066,0.363267442872627,-1.23224640207028,-0.844695924002898,0.449708515940165,1.42664872521188,"academicW2A-004_MAT.txt","academic","written"
"academicW2A-005_MAT.txt",-1.28471294515664,-0.911517209555396,-0.784544889155684,-0.50122260955406,-0.172208497043462,-0.297791827677676,"academicW2A-005_MAT.txt","academic","written"
"academicW2A-006_MAT.txt",-0.721394467016842,0.584945997853602,-0.837536388675595,0.861910056995617,0.854386116687771,-0.910159242157379,"academicW2A-006_MAT.txt","academic","written"
"academicW2A-007_MAT.txt",-1.25447443281765,0.053632945786167,-1.24511451751742,-0.766275048654121,0.79900983218022,0.338398971835808,"academicW2A-007_MAT.txt","academic","written"
"academicW2A-008_MAT.txt",-1.50660203483605,0.24399997249832,-1.4280237434871,0.457375044032004,1.08467894261767,0.70319533224133,"academicW2A-008_MAT.txt","academic","written"
"academicW2A-009_MAT.txt",-1.58220987112901,-0.016770502314213,-0.922307462759143,0.787844646698054,0.252483039599029,0.358925859114212,"academicW2A-009_MAT.txt","academic","written"
"academicW2A-010_MAT.txt",-0.967321593555109,0.023226898651256,-0.274316976069219,-0.491511001327113,-0.77963723916356,-0.095595127616835,"academicW2A-010_MAT.txt","academic","written"
"academicW2A-011_MAT.txt",-1.19986970279615,0.309482278990559,-0.555037840996564,0.228800369873034,1.95700922229602,1.0522053046075,"academicW2A-011_MAT.txt","academic","written"
"academicW2A-012_MAT.txt",-0.679224548120008,1.25138417802434,-0.198217563192129,-0.609701750705683,3.64099429495842,1.2602951227798,"academicW2A-012_MAT.txt","academic","written"
"academicW2A-013_MAT.txt",-1.41821081850461,0.974716565375984,-1.73054930862856,0.751376436399287,1.38014932876647,0.66368865958418,"academicW2A-013_MAT.txt","academic","written"
"academicW2A-014_MAT.txt",-0.935099261996825,-0.157952067756261,-0.022559708083685,0.322211590858085,0.717274655498443,-0.886074256345426,"academicW2A-014_MAT.txt","academic","written"
"academicW2A-015_MAT.txt",-1.08992449243469,1.17068774847933,-0.981458593964994,0.667111149911414,1.65872736859004,-0.100912360340981,"academicW2A-015_MAT.txt","academic","written"
"academicW2A-016_MAT.txt",-1.30652102397685,-0.269295894945406,-1.70485442057826,0.208077269256363,-0.050444804909416,0.636862288537976,"academicW2A-016_MAT.txt","academic","written"
"academicW2A-017_MAT.txt",-1.26851146536978,0.103751107980404,-1.18106886091014,0.246649567848904,1.17033489408182,-0.560168473933603,"academicW2A-017_MAT.txt","academic","written"
